column,missing_count,missing_pct,dtype,rule_violations
person_id,0,0.0,int64,0
default_flag,0,0.0,int64,0
RevolvingUtilizationOfUnsecuredLines,0,0.0,float64,0
age,0,0.0,int64,0
NumberOfTime30-59DaysPastDueNotWorse,0,0.0,int64,0
DebtRatio,0,0.0,float64,0
MonthlyIncome,0,0.0,float64,0
NumberOfOpenCreditLinesAndLoans,0,0.0,int64,0
NumberOfTimes90DaysLate,0,0.0,int64,0
NumberRealEstateLoansOrLines,0,0.0,int64,0
NumberOfTime60-89DaysPastDueNotWorse,0,0.0,int64,0
NumberOfDependents,0,0.0,float64,0
MonthlyIncome_missing,0,0.0,int64,0
NumberOfDependents_missing,0,0.0,int64,0
age_missing,0,0.0,int64,0
