threshold,precision,recall,f1,flagged_count,defaults_in_flagged,default_rate_flagged_pct
0.01,0.067,0.9994,0.1255,149603,10020,6.698
0.02,0.0736,0.9797,0.137,133368,9822,7.365
0.03,0.09,0.9107,0.1639,101403,9131,9.005
0.04,0.1119,0.8091,0.1966,72507,8112,11.188
0.05,0.1403,0.7108,0.2344,50777,7126,14.034
0.06,0.181,0.6165,0.2798,34156,6181,18.096
0.07,0.2391,0.54,0.3314,22645,5414,23.908
0.08,0.2982,0.4935,0.3718,16591,4948,29.823
0.09,0.336,0.4743,0.3933,14153,4755,33.597
0.1,0.3528,0.4645,0.401,13199,4657,35.283
0.11,0.3546,0.4632,0.4017,13095,4644,35.464
0.12,0.3551,0.4629,0.4019,13069,4641,35.512
0.13,0.3556,0.4625,0.402,13041,4637,35.557
0.14,0.3562,0.4619,0.4022,13001,4631,35.62
0.15,0.3565,0.4602,0.4018,12943,4614,35.649
0.16,0.3568,0.4581,0.4012,12871,4593,35.685
0.17,0.3574,0.4556,0.4006,12782,4568,35.738
0.18,0.3585,0.453,0.4002,12671,4542,35.846
0.19,0.36,0.4501,0.4001,12535,4513,36.003
0.2,0.3627,0.4475,0.4007,12371,4487,36.27
0.21,0.3653,0.4423,0.4001,12141,4435,36.529
0.22,0.3667,0.4354,0.3981,11902,4365,36.675
0.23,0.3685,0.4266,0.3954,11607,4277,36.848
0.24,0.3714,0.4182,0.3934,11290,4193,37.139
0.25,0.3744,0.4091,0.391,10956,4102,37.441
0.26,0.3779,0.3983,0.3878,10565,3993,37.795
0.27,0.3808,0.3852,0.383,10142,3862,38.079
0.28,0.3817,0.3697,0.3756,9711,3707,38.173
0.29,0.3853,0.3555,0.3698,9251,3564,38.526
0.3,0.3883,0.3404,0.3628,8789,3413,38.833
0.31,0.394,0.3267,0.3572,8312,3275,39.401
0.32,0.397,0.3098,0.348,7824,3106,39.698
0.33,0.4019,0.2937,0.3394,7327,2945,40.194
0.34,0.4069,0.2766,0.3293,6815,2773,40.69
0.35,0.4141,0.2607,0.32,6312,2614,41.413
0.36,0.4164,0.241,0.3053,5802,2416,41.641
0.37,0.4189,0.2205,0.2889,5278,2211,41.891
0.38,0.4228,0.2017,0.2731,4782,2022,42.284
0.39,0.4252,0.1817,0.2546,4285,1822,42.52
0.4,0.4299,0.1621,0.2354,3780,1625,42.989
0.41,0.4366,0.144,0.2166,3307,1444,43.665
0.42,0.4488,0.1295,0.201,2892,1298,44.882
0.43,0.4524,0.1104,0.1775,2447,1107,45.239
0.44,0.4631,0.094,0.1562,2034,942,46.313
0.45,0.4772,0.0793,0.136,1666,795,47.719
0.46,0.4796,0.0657,0.1156,1374,659,47.962
0.47,0.4969,0.0555,0.0998,1119,556,49.687
0.48,0.507,0.0473,0.0865,935,474,50.695
0.49,0.5037,0.0407,0.0753,810,408,50.37
0.5,0.5091,0.0336,0.0631,662,337,50.906
0.51,0.5112,0.0274,0.0521,538,275,51.115
0.52,0.5158,0.0228,0.0437,444,229,51.577
0.53,0.5272,0.0193,0.0373,368,194,52.717
0.54,0.5338,0.0166,0.0321,311,166,53.376
0.55,0.5267,0.0148,0.0287,281,148,52.669
0.56,0.5314,0.0144,0.028,271,144,53.137
0.57,0.5344,0.014,0.0272,262,140,53.435
0.58,0.5312,0.0136,0.0265,256,136,53.125
0.59,0.524,0.0131,0.0255,250,131,52.4
0.6,0.5202,0.0129,0.0251,248,129,52.016
0.61,0.5083,0.0123,0.024,242,123,50.826
0.62,0.5,0.0118,0.023,236,118,50.0
0.63,0.5043,0.0117,0.0228,232,117,50.431
0.64,0.5022,0.0114,0.0222,227,114,50.22
0.65,0.5,0.0112,0.0219,224,112,50.0
0.66,0.5069,0.011,0.0215,217,110,50.691
0.67,0.5047,0.0108,0.0211,214,108,50.467
0.68,0.5,0.0102,0.0199,204,102,50.0
0.69,0.5,0.0099,0.0194,198,99,50.0
0.7,0.5,0.0096,0.0188,192,96,50.0
0.71,0.4946,0.0091,0.0178,184,91,49.457
0.72,0.5,0.009,0.0176,180,90,50.0
0.73,0.4972,0.0088,0.0172,177,88,49.718
0.74,0.503,0.0085,0.0167,169,85,50.296
0.75,0.5031,0.0081,0.0159,161,81,50.311
0.76,0.4867,0.0073,0.0143,150,73,48.667
0.77,0.4737,0.0063,0.0124,133,63,47.368
0.78,0.4685,0.0052,0.0103,111,52,46.847
0.79,0.4198,0.0034,0.0067,81,34,41.975
0.8,0.6452,0.002,0.004,31,20,64.516
0.81,0.8667,0.0013,0.0026,15,13,86.667
0.82,0.8462,0.0011,0.0022,13,11,84.615
0.83,0.875,0.0007,0.0014,8,7,87.5
0.84,0.0,0.0,0.0,1,0,0.0
0.85,0.0,0.0,0.0,0,0,0.0
0.86,0.0,0.0,0.0,0,0,0.0
0.87,0.0,0.0,0.0,0,0,0.0
0.88,0.0,0.0,0.0,0,0,0.0
0.89,0.0,0.0,0.0,0,0,0.0
0.9,0.0,0.0,0.0,0,0,0.0
0.91,0.0,0.0,0.0,0,0,0.0
0.92,0.0,0.0,0.0,0,0,0.0
0.93,0.0,0.0,0.0,0,0,0.0
0.94,0.0,0.0,0.0,0,0,0.0
0.95,0.0,0.0,0.0,0,0,0.0
0.96,0.0,0.0,0.0,0,0,0.0
0.97,0.0,0.0,0.0,0,0,0.0
0.98,0.0,0.0,0.0,0,0,0.0
0.99,0.0,0.0,0.0,0,0,0.0
